Datum,Tijd,Team thuis,Team uit,Locatie,Veld,Regio,Poule,Code,Zaalcode,Zaal,Plaats,Eerste scheidsrechter,Tweede scheidsrechter,Beoordelaar/begeleider/jury,Lijnrechter 1,Lijnrechter 2,Lijnrechter 3,Lijnrechter 4,Wedstrijd status
24-01-2025,19:30,Inter Rijswijk HS 9,PQV Westland - Data Giants HS 3,"De Altis, Rijswijk ZH",1,West,H4H,H4H-AB,RWKAL,De Altis,Rijswijk ZH,,,,,,,,gepland
24-01-2025,19:30,SKC HS 9,Zovoc HS 5,"Universitair SC, Leiden",2,West,H4H,H4H-IJ,LDNUN,Universitair SC,Leiden,,,,,,,,gepland
24-01-2025,21:30,Monza HS 6,DEO HS 5,"De Wielepet, Monster",3,West,H4H,H4H-ED,MSRWI,De Wielepet,Monster,,,,,,,,gepland
25-01-2025,17:00,SKC HS 8,Punch HS 13,"Universitair SC, Leiden",2,West,H4H,H4H-CH,LDNUN,Universitair SC,Leiden,,,,,,,,gepland
31-01-2025,21:15,PQV Westland - Data Giants HS 3,Punch HS 11,"SC Vreeloo, De Lier",3,West,H4H,H4H-BF,DLRVR,SC Vreeloo,De Lier,,,,,,,,gepland
31-01-2025,21:30,DEO HS 5,Zovoc HS 5,"Jan Janssenhal, Nootdorp",2,West,H4H,H4H-DJ,NTDJA,Jan Janssenhal,Nootdorp,,,,,,,,gepland
07-02-2025,21:30,DEO HS 5,SKC HS 8,"Jan Janssenhal, Nootdorp",2,West,H4H,H4H-DC,NTDJA,Jan Janssenhal,Nootdorp,,,,,,,,gepland
07-02-2025,21:30,Monza HS 6,PQV Westland - Data Giants HS 3,"De Wielepet, Monster",2,West,H4H,H4H-EB,MSRWI,De Wielepet,Monster,,,,,,,,gepland
14-02-2025,21:15,PQV Westland - Data Giants HS 3,DEO HS 5,"SC Vreeloo, De Lier",3,West,H4H,H4H-BD,DLRVR,SC Vreeloo,De Lier,,,,,,,,gepland
15-02-2025,19:45,SKC HS 8,SKC HS 9,"Universitair SC, Leiden",1,West,H4H,H4H-CI,LDNUN,Universitair SC,Leiden,,,,,,,,gepland
15-02-2025,20:00,Zovoc HS 5,Punch HS 13,"De Limiet, Zoetermeer",2,West,H4H,H4H-JH,ZTMNW,De Limiet,Zoetermeer,,,,,,,,gepland
22-02-2025,14:00,Punch HS 13,SKC HS 9,"TU-Sportcentrum, Delft",3,West,H4H,H4H-HI,DFTTU,TU-Sportcentrum,Delft,,,,,,,,gepland
22-02-2025,14:00,SKC HS 9,Punch HS 13,"TU-Sportcentrum, Delft",2,West,H4H,H4H-IH-1-2,DFTTU,TU-Sportcentrum,Delft,,,,,,,,gepland
07-03-2025,19:30,SKC HS 8,PQV Westland - Data Giants HS 3,"Universitair SC, Leiden",3,West,H4H,H4H-CB,LDNUN,Universitair SC,Leiden,,,,,,,,gepland
07-03-2025,19:30,Monza HS 6,SKC HS 9,"De Wielepet, Monster",3,West,H4H,H4H-EI,MSRWI,De Wielepet,Monster,,,,,,,,gepland
07-03-2025,21:30,DEO HS 5,Inter Rijswijk HS 9,"Jan Janssenhal, Nootdorp",2,West,H4H,H4H-DA,NTDJA,Jan Janssenhal,Nootdorp,,,,,,,,gepland
07-03-2025,21:30,Punch HS 11,Punch HS 13,"TU-Sportcentrum, Delft",4,West,H4H,H4H-FH,DFTTU,TU-Sportcentrum,Delft,,,,,,,,gepland
14-03-2025,19:30,Punch HS 13,DEO HS 5,"TU-Sportcentrum, Delft",2,West,H4H,H4H-HD,DFTTU,TU-Sportcentrum,Delft,,,,,,,,gepland
14-03-2025,21:15,PQV Westland - Data Giants HS 3,Zovoc HS 5,"SC Vreeloo, De Lier",3,West,H4H,H4H-BJ,DLRVR,SC Vreeloo,De Lier,,,,,,,,gepland
14-03-2025,21:30,Inter Rijswijk HS 9,Monza HS 6,"De Altis, Rijswijk ZH",2,West,H4H,H4H-AE,RWKAL,De Altis,Rijswijk ZH,,,,,,,,gepland
21-03-2025,19:30,Inter Rijswijk HS 9,SKC HS 8,"De Altis, Rijswijk ZH",3,West,H4H,H4H-AC,RWKAL,De Altis,Rijswijk ZH,,,,,,,,gepland
22-03-2025,12:00,Punch HS 13,Monza HS 6,"TU-Sportcentrum, Delft",3,West,H4H,H4H-HE,DFTTU,TU-Sportcentrum,Delft,,,,,,,,gepland
22-03-2025,15:00,SKC HS 9,DEO HS 5,"Universitair SC, Leiden",2,West,H4H,H4H-ID,LDNUN,Universitair SC,Leiden,,,,,,,,gepland
22-03-2025,20:00,Zovoc HS 5,PQV Westland - Data Giants HS 3,"De Limiet, Zoetermeer",2,West,H4H,H4H-JB,ZTMNW,De Limiet,Zoetermeer,,,,,,,,gepland
28-03-2025,19:30,DEO HS 5,Punch HS 13,"Jan Janssenhal, Nootdorp",3,West,H4H,H4H-DH,NTDJA,Jan Janssenhal,Nootdorp,,,,,,,,gepland
28-03-2025,21:15,PQV Westland - Data Giants HS 3,Inter Rijswijk HS 9,"SC Vreeloo, De Lier",3,West,H4H,H4H-BA,DLRVR,SC Vreeloo,De Lier,,,,,,,,gepland
28-03-2025,21:30,Monza HS 6,SKC HS 8,"De Wielepet, Monster",2,West,H4H,H4H-EC,MSRWI,De Wielepet,Monster,,,,,,,,gepland
29-03-2025,20:00,Zovoc HS 5,Punch HS 11,"De Limiet, Zoetermeer",2,West,H4H,H4H-JF,ZTMNW,De Limiet,Zoetermeer,,,,,,,,gepland
04-04-2025,21:30,Inter Rijswijk HS 9,Zovoc HS 5,"De Altis, Rijswijk ZH",2,West,H4H,H4H-AJ,RWKAL,De Altis,Rijswijk ZH,,,,,,,,gepland
04-04-2025,21:30,Punch HS 11,Monza HS 6,"TU-Sportcentrum, Delft",4,West,H4H,H4H-FE,DFTTU,TU-Sportcentrum,Delft,,,,,,,,gepland
05-04-2025,12:00,Punch HS 13,SKC HS 8,"TU-Sportcentrum, Delft",3,West,H4H,H4H-HC,DFTTU,TU-Sportcentrum,Delft,,,,,,,,gepland
